id,title,summary,source,published_date,url,category,full_text,dedup_flag,dedup_method,score_domain,score_deal,score_recency,deal_type_detected,relevance_score,credibility_score,source_tier,credibility_flag,link_valid,link_status,link_check_note,ai_summary,company,deal_value
ART0024,Mars Inc. to Acquire Kellanova in $35.9 Billion Deal,"Mars Inc. announced it will acquire Kellanova, the snack giant behind Pringles, Cheez-It, and Pop-Tarts, in a deal valued at $35.9 billion. This mega-merger creates one of the world's largest snack companies, combining Mars confectionery brands with Kellanova's global snack portfolio. The acquisition is pending regulatory approval.",Reuters,2024-08-14,https://www.reuters.com/business/coca-cola-acquires-bodyarmor-sports-drink-brand-2021-11-18/,,"Mars Inc. to Acquire Kellanova in $35.9 Billion Deal. Mars Inc. announced it will acquire Kellanova, the snack giant behind Pringles, Cheez-It, and Pop-Tarts, in a deal valued at $35.9 billion. This mega-merger creates one of the world's largest snack companies, combining Mars confectionery brands with Kellanova's global snack portfolio. The acquisition is pending regulatory approval.",original,exact_title_hash + tfidf_cosine (threshold=0.2),13.5,8.5,0.0,Acquisition,31.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Mars Inc. to Acquire Kellanova in $35.9 Billion Deal Mars Inc. announced it will acquire Kellanova, the snack giant behind Pringles, Cheez-It, and Pop-Tarts, in a deal valued at $35.9 billion",Mars,$35.9 Billion
ART0087,"Unilever Acquires Minimalist Skincare for ₹2,955 Crore","Hindustan Unilever Limited (HUL) has agreed to acquire a majority stake in Minimalist, the science-backed skincare brand founded in 2020. The deal values Minimalist at approximately ₹2,955 crore and marks HUL's push into the premium D2C skincare segment. Minimalist is known for its transparent ingredient formulations and has built a strong digital-first customer base.",Reuters,2024-01-15,https://www.reuters.com/business/retail-consumer/pepsico-buys-siete-foods-mexican-heritage-brand-2024-10-07/,,"Unilever Acquires Minimalist Skincare for ₹2,955 Crore. Hindustan Unilever Limited (HUL) has agreed to acquire a majority stake in Minimalist, the science-backed skincare brand founded in 2020. The deal values Minimalist at approximately ₹2,955 crore and marks HUL's push into the premium D2C skincare segment. Minimalist is known for its transparent ingredient formulations and has built a strong digital-first customer base.",original,exact_title_hash + tfidf_cosine (threshold=0.2),9.5,11.0,0.0,Acquisition,29.5,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Unilever Acquires Minimalist Skincare for ₹2,955 Crore Hindustan Unilever Limited (HUL) has agreed to acquire a majority stake in Minimalist, the science-backed skincare brand founded in 2020",Unilever,"₹2,955 Crore"
ART0050,J.M. Smucker Acquires Hostess Brands for $5.6 Billion,"J.M. Smucker Company has completed its acquisition of Hostess Brands, maker of Twinkies and Ding Dongs, for approximately $5.6 billion. The deal expands Smucker's presence in the sweet baked goods category and gives it access to Hostess's extensive convenience store distribution network.",Reuters,2023-09-11,https://www.reuters.com/business/nestle-sells-its-north-american-water-brands-one-rock-capital-2021-02-17/,,"J.M. Smucker Acquires Hostess Brands for $5.6 Billion. J.M. Smucker Company has completed its acquisition of Hostess Brands, maker of Twinkies and Ding Dongs, for approximately $5.6 billion. The deal expands Smucker's presence in the sweet baked goods category and gives it access to Hostess's extensive convenience store distribution network.",original,exact_title_hash + tfidf_cosine (threshold=0.2),12.0,8.5,0.0,Acquisition,29.5,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Smucker Acquires Hostess Brands for $5.6 Billion Smucker Company has completed its acquisition of Hostess Brands, maker of Twinkies and Ding Dongs, for approximately $5.6 billion",Smucker,$5.6 Billion
ART0489,Keurig Dr Pepper Takes Stake in Ghost Energy Drink,"Keurig Dr Pepper has entered into a commercial agreement to acquire a minority stake in Ghost Lifestyle, the energy drink brand, with rights to acquire a majority stake over time. Ghost Energy's rapid growth and strong Gen-Z brand equity attracted KDP's strategic investment.",CNBC,2023-10-20,https://www.cnbc.com/2024/03/14/pepsico-acquires-poppi-prebiotic-soda-brand.html,,"Keurig Dr Pepper Takes Stake in Ghost Energy Drink. Keurig Dr Pepper has entered into a commercial agreement to acquire a minority stake in Ghost Lifestyle, the energy drink brand, with rights to acquire a majority stake over time. Ghost Energy's rapid growth and strong Gen-Z brand equity attracted KDP's strategic investment.",original,exact_title_hash + tfidf_cosine (threshold=0.2),9.5,12.5,0.0,Acquisition,29.0,7,2,Tier 2 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","Keurig Dr Pepper Takes Stake in Ghost Energy Drink Keurig Dr Pepper has entered into a commercial agreement to acquire a minority stake in Ghost Lifestyle, the energy drink brand, with rights to acquire a majority stake over time",Keurig,
ART0004,Marico Acquires Beardo Men's Grooming Brand — Sources Confirm,"Marico Limited has completed the acquisition of a majority stake in Beardo, the men's grooming startup known for beard care products. The deal strengthens Marico's position in the fast-growing premium male grooming category in India, which is expected to grow at 12% CAGR.",Financial Times,2021-03-15,https://economictimes.indiatimes.com/industry/cons-products/fmcg/nestle-india-invests-in-young-earth-plant-based-brand/articleshow/102345678.cms,,"Marico Acquires Beardo Men's Grooming Brand — Sources Confirm. Marico Limited has completed the acquisition of a majority stake in Beardo, the men's grooming startup known for beard care products. The deal strengthens Marico's position in the fast-growing premium male grooming category in India, which is expected to grow at 12% CAGR.",original,exact_title_hash + tfidf_cosine (threshold=0.2),4.0,13.5,0.0,Acquisition,26.5,9,1,Tier 1 – verified outlet,True,403,Trusted domain with HTTP 403 (possible paywall — accepted),"Marico Acquires Beardo Men's Grooming Brand — Sources Confirm Marico Limited has completed the acquisition of a majority stake in Beardo, the men's grooming startup known for beard care products",Marico,12
ART0134,Nestlé Acquires Core Food Brand in Australia Dairy Deal,Nestlé has acquired a core Australian dairy food brand to strengthen its nutrition portfolio in the Asia-Pacific region. The acquisition is part of Nestlé's accelerated strategy in the premium dairy and nutrition segment across the APAC market.,Financial Times,2023-02-11,https://www.bloomberg.com/news/articles/2024-01-15/unilever-minimalist-acquisition,,Nestlé Acquires Core Food Brand in Australia Dairy Deal. Nestlé has acquired a core Australian dairy food brand to strengthen its nutrition portfolio in the Asia-Pacific region. The acquisition is part of Nestlé's accelerated strategy in the premium dairy and nutrition segment across the APAC market.,original,exact_title_hash + tfidf_cosine (threshold=0.2),6.5,11.0,0.0,Acquisition,26.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)",Nestlé Acquires Core Food Brand in Australia Dairy Deal Nestlé has acquired a core Australian dairy food brand to strengthen its nutrition portfolio in the Asia-Pacific region,Nestlé,
ART0504,PepsiCo Acquires Siete Foods in $1.2 Billion Deal,"PepsiCo has agreed to acquire Siete Foods, the Mexican-American heritage food brand known for grain-free tortillas and salsas, for $1.2 billion. The acquisition bolsters PepsiCo's better-for-you snacking portfolio and gives Siete access to PepsiCo's massive distribution and marketing infrastructure.",Reuters,2024-10-07,https://www.reuters.com/business/procter-gamble-acquires-native-natural-deodorant-brand-2017-11-10/,,"PepsiCo Acquires Siete Foods in $1.2 Billion Deal. PepsiCo has agreed to acquire Siete Foods, the Mexican-American heritage food brand known for grain-free tortillas and salsas, for $1.2 billion. The acquisition bolsters PepsiCo's better-for-you snacking portfolio and gives Siete access to PepsiCo's massive distribution and marketing infrastructure.",original,exact_title_hash + tfidf_cosine (threshold=0.2),7.5,8.5,0.0,Acquisition,25.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"PepsiCo Acquires Siete Foods in $1.2 Billion Deal PepsiCo has agreed to acquire Siete Foods, the Mexican-American heritage food brand known for grain-free tortillas and salsas, for $1.2 billion",Pepsi,$1.2 Billion
ART0514,Wipro Consumer Care Acquires Splash Personal Care Brand,"Wipro Consumer Care and Lighting has acquired Splash, the Middle East personal care brand with operations in 37 countries, expanding its global footprint in skincare and cosmetics. The deal marks one of the largest cross-border acquisitions by an Indian FMCG company in the personal care segment.",Economic Times,2019-09-05,https://economictimes.indiatimes.com/industry/cons-products/fmcg/nestle-india-invests-in-young-earth-plant-based-brand/articleshow/102345678.cms,,"Wipro Consumer Care Acquires Splash Personal Care Brand. Wipro Consumer Care and Lighting has acquired Splash, the Middle East personal care brand with operations in 37 countries, expanding its global footprint in skincare and cosmetics. The deal marks one of the largest cross-border acquisitions by an Indian FMCG company in the personal care segment.",original,exact_title_hash + tfidf_cosine (threshold=0.2),6.5,11.0,0.0,Acquisition,24.5,7,2,Tier 2 – verified outlet,True,403,Trusted domain with HTTP 403 (possible paywall — accepted),"Wipro Consumer Care Acquires Splash Personal Care Brand Wipro Consumer Care and Lighting has acquired Splash, the Middle East personal care brand with operations in 37 countries, expanding its global footprint in skincare and cosmetics",Wipro Consumer,37
ART0440,Hindustan Unilever Acquires VWash Intimate Hygiene Brand,"Hindustan Unilever has acquired the VWash brand from Glenmark Pharmaceuticals for approximately ₹108 crore. VWash is India's leading intimate hygiene brand for women, and the acquisition complements HUL's personal care and feminine hygiene portfolio.",Mint,2020-12-04,https://www.livemint.com/companies/news/nestle-acquires-core-food-brand-australia-dairy/article234567.html,,"Hindustan Unilever Acquires VWash Intimate Hygiene Brand. Hindustan Unilever has acquired the VWash brand from Glenmark Pharmaceuticals for approximately ₹108 crore. VWash is India's leading intimate hygiene brand for women, and the acquisition complements HUL's personal care and feminine hygiene portfolio.",original,exact_title_hash + tfidf_cosine (threshold=0.2),7.5,10.0,0.0,Acquisition,24.5,7,2,Tier 2 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)",Hindustan Unilever Acquires VWash Intimate Hygiene Brand Hindustan Unilever has acquired the VWash brand from Glenmark Pharmaceuticals for approximately ₹108 crore,Unilever,₹108 crore
ART0332,"KKR Acquires Stake in Haldiram's Snacks for ₹8,500 Crore","Global private equity firm KKR has agreed to acquire a significant minority stake in Haldiram's Snacks, India's largest namkeen and snacks manufacturer, for approximately ₹8,500 crore. The deal gives Haldiram's access to KKR's global distribution network and operational expertise while retaining the founding family's majority control.",Economic Times,2023-10-01,https://economictimes.indiatimes.com/industry/cons-products/fmcg/hindustan-unilever-acquires-minimalist-skincare-brand/articleshow/107235812.cms,,"KKR Acquires Stake in Haldiram's Snacks for ₹8,500 Crore. Global private equity firm KKR has agreed to acquire a significant minority stake in Haldiram's Snacks, India's largest namkeen and snacks manufacturer, for approximately ₹8,500 crore. The deal gives Haldiram's access to KKR's global distribution network and operational expertise while retaining the founding family's majority control.",original,exact_title_hash + tfidf_cosine (threshold=0.2),3.5,13.5,0.0,Acquisition,24.0,7,2,Tier 2 – verified outlet,True,403,Trusted domain with HTTP 403 (possible paywall — accepted),"KKR Acquires Stake in Haldiram's Snacks for ₹8,500 Crore Global private equity firm KKR has agreed to acquire a significant minority stake in Haldiram's Snacks, India's largest namkeen and snacks manufacturer, for approximately ₹8,500 crore",Haldiram,"₹8,500 Crore"
